Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.13978,41.38432,"1 bedroom apartment + sofa bed, balcony.",Spain,90.0,Entire home/apt,9.0
2.15486,41.37889,Open Wall.Gran Vía 2.Renov 2015,Spain,68.0,Entire home/apt,9.0
2.1731,41.38104,antiguo loft-barna,Spain,78.0,Entire home/apt,9.0
2.17403,41.37412,×× BARCELONA RAMBLAS PLAZA REAL ××,Spain,39.0,Entire home/apt,9.0
2.16822,41.3919,Superior Apartment Passeig de Gracia with Views,Spain,290.0,Entire home/apt,9.0
2.1674,41.4008,Beautiful apartment in the city centre of BCN!!!,Spain,80.0,Entire home/apt,10.0
2.17659,41.4092,Nice and cozy apartment in Sagrada Familia.,Spain,120.0,Entire home/apt,10.0
2.15338,41.37955,Newly renovated apartment in Barcelona Eixample,Spain,69.0,Entire home/apt,9.0
2.19629,41.40417,Light Loft | Walk to the Beach | Free Parking,Spain,99.0,Entire home/apt,9.0
2.17401,41.39924,Modernist flat close to the Sagrada Familia,Spain,140.0,Entire home/apt,9.0
2.17815,41.39668,Loft Duplex Barcelona,Spain,250.0,Entire home/apt,9.0
2.16058,41.41072,Acogedor apartamento con vistas a toda Barcelona,Spain,40.0,Entire home/apt,9.0
2.14949,41.39934,Lovely and Modern 3-Bed Apartment in Lesseps,Spain,75.0,Entire home/apt,9.0
2.18134,41.39377,"Loft in Arc de Triomf Barcelona with terrace, pool",Spain,150.0,Entire home/apt,9.0
2.17271,41.3777,ELEGANT APARTMENT CLOSE TO RAMBLAS,Spain,65.0,Entire home/apt,9.0
2.15734,41.39161,Grace 1 - Habitat Apartments,Spain,292.0,Entire home/apt,9.0
2.17543,41.40619,Gaudí - Sagrada Familia,Spain,105.0,Entire home/apt,9.0
2.16621,41.37133,1tnf SUPER GREAT LOCATION IN BARCELONA!!!,Spain,90.0,Entire home/apt,8.0
2.19069,41.45017,3-Bedroom Apartment With Big Terrace,Spain,41.0,Entire home/apt,9.0
2.17506,41.39353,Appartement de 125m2 lumineux et calme,Spain,220.0,Entire home/apt,9.0
2.20247,41.40666,Sunny Attic with Pool and Terrace near the Beach!,Spain,99.0,Entire home/apt,9.0
2.14545,41.42249,Welcome to tranquility!,Spain,30.0,Entire home/apt,10.0
2.17619,41.4105,Cozy 3bed/2bath w/balcony close to Sagrada Familia,Spain,85.0,Entire home/apt,7.0
2.1558,41.40354,Nice stay in Gracia,Spain,60.0,Entire home/apt,10.0
2.15829,41.38622,Eixample Apartamento En Barcelona 4 2,Spain,53.0,Entire home/apt,9.0
2.17189,41.3935,Lujoso apartamento ideal familias (8 pax),Spain,1240.0,Entire home/apt,9.0
2.21568,41.41098,Fiona,Spain,47.0,Entire home/apt,9.0
2.1723,41.40404,Tucson Suites,Spain,85.0,Entire home/apt,9.0
2.16948,41.39093,Deluxe 2 Bedroom Apartment in the Eixample District in lovely Barcelona!,Spain,149.0,Entire home/apt,8.0
2.14553,41.37978,Apartment Eixample Sants Station,Spain,50.0,Entire home/apt,10.0
2.16603,41.37575,Sunny penthouse with Parking,Spain,75.0,Entire home/apt,9.0
2.17374,41.40361,One Bedroom Apartment (4pers) near Sagrada Familia,Spain,219.0,Entire home/apt,10.0
2.13918,41.37656,Happy People Plaza España - 4 bedroom (3),Spain,250.0,Entire home/apt,9.0
2.17219,41.40276,"sf21 YES, VERY CLOSE TO LA SAGRADA FAMILIA AND ...",Spain,76.0,Entire home/apt,9.0
2.17398,41.39148,Large two bedroom apartment,Spain,130.0,Entire home/apt,9.0
2.16004,41.40437,City centre loft with rooftop pool and terrace,Spain,150.0,Entire home/apt,9.0
2.20393,41.40783,Poblenou Comfort por meses,Spain,80.0,Entire home/apt,9.0
2.17801,41.38826,"Newly renovated studio, trendy borne area, terrace",Spain,95.0,Entire home/apt,9.0
2.19637,41.40491,Tanger Jazz Pool and Beach,Spain,150.0,Entire home/apt,9.0
2.13564,41.37356,Studio 12 square meters(penthouse),Spain,45.0,Entire home/apt,9.0
2.15117,41.38058,Smart Luxury KissMe 2BR balcony,Spain,129.0,Entire home/apt,9.0
2.1397,41.37468,Happy People Plaza España Suite 2/4 People,Spain,3000.0,Entire home/apt,9.0
2.15624,41.38629,Gorgeous flat 4bed 5min to tube in lovely Eixample,Spain,115.0,Entire home/apt,9.0
2.17448,41.3826,Casa Cosi - Gotico,Spain,160.0,Entire home/apt,8.0
2.1295,41.38418,Family Duplex 2Adults+2Children Steps From Subway Station in BCN Center,Spain,80.0,Entire home/apt,9.0
2.21544,41.40442,"In front of the sea, terrace close Congress center",Spain,330.0,Entire home/apt,8.0
2.17424,41.40953,Eric Vökel Boutique Apartments - Sagrada Familia Suites - 2 Bedroom 2 Bathrooms Apartment,Spain,140.0,Entire home/apt,10.0
2.13371,41.37108,Acogedor loft en Barcelona,Spain,70.0,Entire home/apt,9.0
2.1254,41.37547,Apartment For Rent Near Camp Nou,Spain,105.0,Entire home/apt,8.0
2.17628,41.38043,2-bedroom apartment in the Old Town,Spain,46.0,Entire home/apt,9.0
2.21503,41.40385,Luxury 2 bedroom apartment infront of the beach,Spain,72.0,Entire home/apt,9.0
2.1767,41.38028,Perfectly located 2-bedroom place near Ramblas,Spain,46.0,Entire home/apt,9.0
2.17625,41.38806,Piso muy grande con 6 habitaciones en el centro,Spain,168.0,Entire home/apt,9.0
2.17143,41.37435,"1Family Vacation Suite RAMBL Street, Port of Colom",Spain,45.0,Entire home/apt,9.0
2.14932,41.37821,Penthouse 3 bedrooms apartment B376,Spain,262.0,Entire home/apt,10.0
2.12923,41.38724,AMAZING PENTHOUSE IN BARCELONA,Spain,56.0,Entire home/apt,9.0
2.17797,41.39271,Barcelona - Urquinaona,Spain,300.0,Entire home/apt,9.0
2.15168,41.4073,Family Apartment with Balcony in Gracia - 1821,Spain,200.0,Entire home/apt,9.0
2.17803,41.37924,Modern & Cosy 3BD in Ramblas *Balcony,Spain,120.0,Entire home/apt,8.0
2.16619,41.38539,CENTRAL APARTMENT 1min to RAMBLAS,Spain,150.0,Entire home/apt,9.0
2.15006,41.43322,Ideal apartment for families. With gorgeous views,Spain,40.0,Entire home/apt,9.0
2.16757,41.37354,Hortes: Acogedor studio/apartamento en Poble Sec,Spain,32.0,Entire home/apt,9.0
2.19708,41.38937,Olympic Port apartments,Spain,600.0,Entire home/apt,9.0
2.1781,41.38016,× BARCELONA RAMBLAS PLAZA REAL ×,Spain,39.0,Entire home/apt,9.0
2.16075,41.39643,BCN Duplex Sagrada Familia,Spain,129.0,Entire home/apt,9.0
2.1529,41.38684,Modern One Bedroom Apartment in Eixample Area B142,Spain,197.0,Entire home/apt,9.0
2.17597,41.40204,SWEET HOME NEXT TO SAGRADA FAMILIA,Spain,50.0,Entire home/apt,9.0
2.17357,41.38985,ROMANTIC Apartment WIFI in center,Spain,120.0,Entire home/apt,9.0
2.16881,41.38484,Recién Re1 Apart delS.18 Núcleo Bcn,Spain,89.0,Entire home/apt,10.0
2.17647,41.3811,¤¤Barrio Gótico de Barcelona,Spain,39.0,Entire home/apt,8.0
2.1438,41.37945,Big apartment by Barcelona's main train station,Spain,120.0,Entire home/apt,10.0
2.14329,41.3712,BCN Duplex Mirò Monthly,Spain,89.0,Entire home/apt,9.0
2.15819,41.37534,Cozy & central apartment in the heart of Barcelona,Spain,150.0,Entire home/apt,9.0
2.17234,41.39896,Principito Apartment w/2 Ensuite Bathrooms,Spain,127.0,Entire home/apt,10.0
2.16005,41.41757,Romantic and quiet apartment with Air Conditioning,Spain,80.0,Entire home/apt,9.0
2.16945,41.37182,Happy people Ramblas Harbour 3 bedrooms appartment for 3 people,Spain,300.0,Entire home/apt,9.0
2.16177,41.39261,Quality in the town of the city,Spain,400.0,Entire home/apt,10.0
2.12294,41.37128,SUNNY APARTMENT FIRA BARCELONA CAMP NOU,Spain,80.0,Entire home/apt,9.0
2.18268,41.40101,Autèntic Monumental 32,Spain,550.0,Entire home/apt,10.0
2.17632,41.38992,Apartment in the heart of Barcelona,Spain,150.0,Entire home/apt,10.0
2.13334,41.36739,GENIAL APARTAMENTO EN SANTS (BHM2-3564),Spain,57.0,Entire home/apt,9.0
2.16326,41.39322,city center apartament in luxury neigborhood,Spain,37.0,Entire home/apt,9.0
2.1697,41.39779,The Balcony Apartment,Spain,130.0,Entire home/apt,9.0
2.16248,41.37143,Cozy Apartment on Sortidor Square,Spain,96.0,Entire home/apt,9.0
2.14369,41.37684,Amazing Duplex with Big Terrace *4BD,Spain,150.0,Entire home/apt,9.0
2.18216,41.41233,2-2 Design apartment close to sagrada familia,Spain,42.0,Entire home/apt,9.0
2.16624,41.38972,NEW! Piso Premium en Ps de Gracia!,Spain,60.0,Entire home/apt,10.0
2.17583,41.37649,Cute apart with terrace Downtown !,Spain,128.0,Entire home/apt,9.0
2.15114,41.39751,LetsgoBarcelona Diagonal Ave. Duplex,Spain,100.0,Entire home/apt,8.0
2.17517,41.40227,MONTHLY COZY SUNNY - SAGRADA FAM.,Spain,25.0,Entire home/apt,9.0
2.15593,41.40772,Orange tree View flat with patio,Spain,97.0,Entire home/apt,10.0
2.18061,41.42255,Lovely Penthouse in Barcelona,Spain,140.0,Entire home/apt,9.0
2.14731,41.37872,Loft Miro,Spain,96.0,Entire home/apt,9.0
2.15241,41.38763,pb2 IDEAL LOCATION! WITH TERRACE CHARMING & QUIET!,Spain,70.0,Entire home/apt,9.0
2.17556,41.39651,New and central apartment up to 4!,Spain,75.0,Entire home/apt,9.0
