Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating,Host_Name,No_Of_BedRooms,No_Of_BathRooms,No_Of_Beds
2.18998,41.37773,Habitacion Hermosa. Beautiful room in Barceloneta,Spain,65.0,Private room,10.0,Trinidad,1.0,1.0,1.0
2.17685,41.38023,Quiet Private Room in Barcelona Gothic Quarter,Spain,45.0,Private room,9.0,Ferre,1.0,1.0,2.0
2.19166,41.37976,Habitación  Barrio Barceloneta,Spain,28.0,Private room,9.0,Karla,1.0,1.0,1.0
2.1493,41.38051,Home Sharing - Individual Room in Plaza España,Spain,16.0,Private room,9.0,Mercedes,1.0,1.0,1.0
2.15797,41.4057,Comfortable room in a house in the heart of Gràcia,Spain,45.0,Private room,9.0,Enric,1.0,1.0,1.0
2.16758,41.39706,Cheap Small Economic Room Shared Barthroom Center,Spain,45.0,Private room,9.0,Adriana De Bruc & Bruc,1.0,2.0,1.0
2.1648,41.38121,{{ SAGRADA FAMILIA }} Center ROOM *****,Spain,29.0,Private room,10.0,Carlos,1.0,1.5,1.0
2.16997,41.43171,Hab individual con terrazas y vistas a Barcelona,Spain,22.0,Private room,10.0,Claudio,1.0,1.0,1.0
2.15669,41.37672,SUPREME BALCONY DOUBLE ROOM,Spain,25.0,Private room,9.0,Monique & Igor,1.0,2.0,1.0
2.14395,41.38542,Habitación muy grande con vistas espectaculares.,Spain,90.0,Private room,10.0,Jaume,1.0,1.0,1.0
2.16219,41.39821,Cozy room in the center of Barcelona!!!,Spain,33.0,Private room,10.0,Biel,1.0,1.0,1.0
2.16585,41.37878,Dos habitaciones c/balcón centro BCN 3-5 people.,Spain,50.0,Private room,9.0,Elena,2.0,1.0,4.0
2.17458,41.37919,"Bright, Central Apartment with Traditional and Modern Design",Spain,88.0,Private room,10.0,Praxedes,2.0,1.0,2.0
2.20064,41.40262,Enrique's private room,Spain,60.0,Private room,10.0,Nilo Enrique,1.0,1.0,1.0
2.14487,41.37748,Beste Lage im Herzen Barcelonas Playa Espanya*****,Spain,45.0,Private room,9.0,Sven,3.0,2.0,4.0
2.16776,41.40431,Room in Barcelona Near Sagrada Familia,Spain,35.0,Private room,8.0,José,1.0,1.0,3.0
2.19544,41.38928,Double room with shared batroom with sea view,Spain,35.0,Private room,10.0,Cristina,1.0,1.0,1.0
2.17548,41.44656,Nashs house 2,Spain,19.0,Private room,9.0,Doreen,1.0,1.0,1.0
2.18031,41.38038,Double room for women in Gothic,Spain,45.0,Private room,8.0,Francesca,1.0,1.0,1.0
2.1495,41.39144,Quiet and bright room with balcony,Spain,24.0,Private room,7.0,Maria,1.0,2.0,1.0
2.16855,41.38049,In the center of Barcelona!!!,Spain,35.0,Private room,9.0,Mary Jean,1.0,1.0,1.0
2.15919,41.40759,Habitación en Gràcia-Barcelona muy bien comunicada,Spain,20.0,Private room,9.0,Marianne,1.0,1.0,1.0
2.16568,41.41114,Habitación amplia cerca de gracia  con armario,Spain,20.0,Private room,10.0,Xavi,1.0,1.0,1.0
2.18851,41.38118,Apartment- Private livingroom-kitchen-bathroom,Spain,95.0,Private room,9.0,Julian,1.0,1.0,2.0
2.17561,41.38786,"Beautiful Double interior room, Breakfast Included",Spain,89.0,Private room,10.0,Marc De Yurbban Passage,1.0,1.0,1.0
2.18253,41.41013,Habitación para dormir con cama de matrimonio,Spain,15.0,Private room,8.0,Xavier,1.0,1.0,1.0
