Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.16837,41.37295,Brand new Poble Sec design flat next to Montjuïc,Spain,15.0,Entire home/apt,9.0
2.14387,41.38765,MP Room for 2 persons bunk bed in shared apartment,Spain,32.0,Private room,9.0
2.15252,41.37667,Single room Barcelona center,Spain,17.0,Private room,9.0
2.17911,41.39691,Mestral Mar Doble hab. 5-6,Spain,66.0,Private room,8.0
2.18628,41.39811,Habitación individual.,Spain,14.0,Private room,9.0
2.16478,41.37105,Apartment Salva - 3 bedroom in Poble Sec,Spain,46.0,Entire home/apt,10.0
2.15648,41.41896,2447 - AB Park Güell Apartment 1-1 - Elegant 4-Bedroom Apartment near Park Güell with a Balcony,Spain,550.0,Entire home/apt,9.0
2.16278,41.38545,New Holiday Master Suite with Balcony in Eixample,Spain,84.0,Private room,10.0
2.1539,41.39584,One bedroom apartment,Spain,125.0,Entire home/apt,10.0
2.18269,41.40006,Room with balcony,Spain,40.0,Private room,9.0
2.187,41.41361,H MERIDIANA 1,Spain,19.0,Private room,9.0
2.17694,41.41944,Ático Del Guinardo,Spain,45.0,Private room,8.0
2.16481,41.39959,Habitación individual Eixample,Spain,26.0,Private room,10.0
2.15994,41.39379,Chic & Fashion. EIXAMPLE.,Spain,53.0,Entire home/apt,9.0
2.13675,41.41756,"Modern & Quiet 2 bedroom house, patio&views!",Spain,69.0,Private room,9.0
2.20377,41.42283,"Lovely room close to beach,15 min center",Spain,32.0,Private room,9.0
2.17156,41.39427,Lovely 2bed/3bath in the heart of Eixample,Spain,75.0,Entire home/apt,9.0
2.18482,41.39895,Sagrada Familia-auditorium. FREE WI-FI.,Spain,69.0,Entire home/apt,9.0
2.15567,41.37236,Amplio y luminoso.,Spain,60.0,Entire home/apt,10.0
2.17337,41.43616,Habitación para tres en Barcelona cerca  transport,Spain,110.0,Private room,9.0
2.1717,41.38569,Stylish apartment in the heart of Gothic area,Spain,111.0,Entire home/apt,7.0
2.15993,41.39162,Comfortable and Accesible For Groups (H1+H2),Spain,140.0,Private room,8.0
2.13697,41.37756,A Private Room for 4 People,Spain,200.0,Private room,9.0
2.18891,41.3751,Top Duplex at Barcelona Beach,Spain,175.0,Entire home/apt,9.0
2.18237,41.38264,"Elegant studio in old town Barcelona, El Gothic",Spain,58.0,Entire home/apt,10.0
2.21819,41.41356,Lovely and modern apartment.,Spain,27.0,Entire home/apt,9.0
2.21575,41.41429,Cozy double room in Barcelona close to beach,Spain,17.0,Private room,9.0
2.14405,41.3859,"Cómoda Habitación L'Eixample, Gracia",Spain,10.0,Private room,8.0
2.17371,41.40764,Large flat in Sagrada Familia private garden.6 pax,Spain,53.0,Entire home/apt,9.0
2.17781,41.37897,GOTHIC RAMBLAS 2 APARTMENT,Spain,67.0,Entire home/apt,8.0
2.15801,41.3984,Amazing Loft in BCN Center (B0132),Spain,108.0,Entire home/apt,10.0
2.21825,41.4141,Sweet home!!!,Spain,26.0,Private room,9.0
2.18543,41.45542,A natural and calm corner in Barcelona,Spain,38.0,Private room,10.0
2.17909,41.43897,Habitación  acogedora vacacional,Spain,25.0,Private room,10.0
2.18275,41.3848,BCN center / balcony - ensuite bathroom,Spain,55.0,Private room,10.0
2.17039,41.37302,Studio with Terrace next to Rambla and Monjuic,Spain,100.0,Entire home/apt,9.0
2.19112,41.41492,Cosy interior room for 2! I CA,Spain,15.0,Private room,9.0
2.13707,41.37615,HOMEnFUN Sants close to the Train station,Spain,52.0,Entire home/apt,7.0
2.16127,41.39879,Luminous dúplex apartment in Gracia district,Spain,150.0,Entire home/apt,7.0
2.17263,41.40557,Twin Room with Shared Bathroom,Spain,25.0,Private room,9.0
2.15105,41.38455,Habitación con terraza y mucha luz en el centro.,Spain,30.0,Private room,9.0
2.15002,41.38031,Plaza España Apartment,Spain,100.0,Entire home/apt,8.0
2.18748,41.418,"Private, double room in Barcelona",Spain,60.0,Private room,9.0
2.16834,41.37236,Beautiful interior designed flat in Montjüic,Spain,25.0,Entire home/apt,7.0
2.17186,41.37953,Cosy Single Room in the Centre,Spain,29.0,Private room,9.0
2.13676,41.38121,Vibrant Flat with Rooftop Terrace and City Views,Spain,90.0,Entire home/apt,10.0
2.14653,41.42339,Habitación acogedora en zona muy tranquila,Spain,40.0,Private room,9.0
2.14745,41.38376,Amazing place in Barcelona centre,Spain,59.0,Private room,9.0
2.13911,41.40216,Barcelona Apartment Sarrià Pedralbes,Spain,75.0,Entire home/apt,9.0
2.1645,41.37343,Art Gallery Apartment 2B,Spain,90.0,Entire home/apt,9.0
2.21403,41.40434,1405 - LUXURY BEACH TERRACE APARTME,Spain,750.0,Entire home/apt,9.0
2.16658,41.37282,Stylish 1 bed flat with balcony in Montjüic,Spain,15.0,Entire home/apt,9.0
2.12807,41.40666,Villa Romantika Doppel Zimmer Afrika,Spain,100.0,Private room,9.0
2.17232,41.41188,HABITACIÓN DOBLE EN EL CENTRO MUY BIEN COMUNICADA,Spain,35.0,Private room,9.0
2.16033,41.37128,Atic with great views,Spain,120.0,Entire home/apt,10.0
2.16375,41.37956,Bonito y cómodo loft en el centro,Spain,100.0,Entire home/apt,9.0
2.17862,41.38659,Doble room in the heart of BCN - Born,Spain,31.0,Private room,9.0
2.162,41.38621,Comfort Luxury center apartment,Spain,100.0,Entire home/apt,9.0
2.15849,41.40913,Remodeled penthouse in Gracia *Bcn*,Spain,140.0,Entire home/apt,9.0
2.16855,41.37393,1921 - AB Paral·lel Apartment A - Contemporary Penthouse with a Private Terrace,Spain,470.0,Entire home/apt,8.0
2.15374,41.37718,PRETTY ROOM IN BARCELONA-A/C-NEAR PLAZA ESPAÑA,Spain,35.0,Private room,9.0
2.12439,41.37454,CAMP NOU MUNNE 2-2 APARTMENT,Spain,75.0,Entire home/apt,9.0
2.18094,41.38717,Beautiful and bright flat in Born Barcelona,Spain,67.0,Entire home/apt,10.0
2.1795,41.3791,Barcelona centro - Barrio Gótico,Spain,50.0,Private room,8.0
2.18496,41.41015,Spacious bright single bedroom,Spain,15.0,Private room,10.0
2.14344,41.37483,Plaza two bedroom apartment,Spain,80.0,Entire home/apt,9.0
2.17343,41.38084,Perfect Location! QUIET ROOM just off LA RAMBLA,Spain,29.0,Private room,9.0
2.15565,41.37386,Lovely Apartment in the heart of Barcelona.,Spain,98.0,Entire home/apt,9.0
2.1708,41.37868,El castillo del raval,Spain,30.0,Private room,9.0
2.17542,41.42309,Apartment Eduardo,Spain,180.0,Entire home/apt,9.0
2.16731,41.37874,Relax in the Raval - Room with Balcony,Spain,50.0,Private room,9.0
2.17762,41.40782,"Bright 1 bedroom, Sagrada Familia, long term¦",Spain,100.0,Entire home/apt,9.0
2.16192,41.38878,COZY APARTMENT II,Spain,34.0,Entire home/apt,9.0
2.13539,41.38778,Awesome apartment & amazing terrace! HUTB-012684,Spain,180.0,Entire home/apt,9.0
2.20417,41.43574,(C)Private double Bedroom next to metro. Free WiFi,Spain,15.0,Private room,8.0
2.11271,41.41055,villa maravilla,Spain,100.0,Private room,9.0
2.17461,41.42355,1889 - AB Montserrat Comfort Apartment 4 -1 - Comfortable 2-Bedroom Apartment with a Balcony in a Quiet Neighbourhood,Spain,55.0,Entire home/apt,10.0
2.19584,41.39595,Big sunny room! Perfect location!,Spain,45.0,Private room,8.0
2.13862,41.40219,Excellent Duplex in Sarrià with Private Pool,Spain,110.0,Entire home/apt,9.0
2.16187,41.39228,Batllo Apartment Barcelona,Spain,85.0,Entire home/apt,10.0
2.13806,41.40144,2 habitaciones en piso bonito y bien situado,Spain,56.0,Private room,9.0
2.17745,41.38273,Studio located in the best part of the city,Spain,110.0,Entire home/apt,9.0
2.15491,41.40252,Stylish design 1 bed in the heart of Gracia,Spain,25.0,Entire home/apt,9.0
2.16422,41.38119,Double room in Barcelona Center with balcony!!!!,Spain,50.0,Private room,10.0
2.17513,41.37837,Sunny Private Room with balcony in LA RAMBLA- WIFI,Spain,28.0,Private room,9.0
2.17344,41.37609,"Cosy place in the Heart of Barcelona DOWNTOWN,WIFI",Spain,22.0,Private room,9.0
2.16739,41.39268,Barcelona Super Central Apartment,Spain,82.0,Entire home/apt,10.0
2.15611,41.37384,BARCELONA FIRA FAMILY,Spain,83.0,Entire home/apt,9.0
