Name,Country,Price,Room_Type,Review_Rating
SM71 - 1 minute from beach - 2-bedroom - balcony,Spain,38,Entire home/apt,10
"SM8 - Serenity Beach - 2 Bedroom, Dressing Room",Spain,38,Entire home/apt,10
city center apartament in luxury neigborhood,Spain,37,Entire home/apt,9
Charmy 3 bedrooms apartment in Sarrià-Sant Gervasi,Spain,35,Entire home/apt,9
COZY APARTMENT II,Spain,34,Entire home/apt,9
Hortes: Acogedor studio/apartamento en Poble Sec,Spain,32,Entire home/apt,9
Great location in Barcelona,Spain,31,Entire home/apt,8
"Privacidad, silencio, buena comunicación...",Spain,30,Entire home/apt,10
Welcome to tranquility!,Spain,30,Entire home/apt,10
Lovely and modern apartment.,Spain,27,Entire home/apt,9
Stylish design 1 bed in the heart of Gracia,Spain,25,Entire home/apt,9
MONTHLY COZY SUNNY - SAGRADA FAM.,Spain,25,Entire home/apt,9
Beautiful interior designed flat in Montjüic,Spain,25,Entire home/apt,7
Stylish 1 bed flat with balcony in Montjüic,Spain,15,Entire home/apt,9
Brand new Poble Sec design flat next to Montjuïc,Spain,15,Entire home/apt,9
