Name,Country,Price,Review_Rating
Apartment Eixample Sants Station,Spain,50,10
Double room in Barcelona Center with balcony!!!!,Spain,50,10
SWEET HOME NEXT TO SAGRADA FAMILIA,Spain,50,9
Comfortable room 5 minutes from the beach,Spain,50,9
Old District - Charming Apartment,Spain,50,9
Perfect double room with private bathroom ! !,Spain,50,8
Experience Local Living in Well-Connected Beach Retreat,Spain,50,9
Sagrada Familia up to 6!!,Spain,50,9
Cozy room very well located - Arc del Trioumf,Spain,50,10
Nice room in Barcelona Center,Spain,50,9
Dos habitaciones c/balcón centro BCN 3-5 people.,Spain,50,9
Relax in the Raval - Room with Balcony,Spain,50,9
Amazing places. Love holidays. Barcelona.,Spain,50,9
Barcelona centro - Barrio Gótico,Spain,50,8
Charming apartment in Gracia,Spain,50,9
"Room w' priv bathroom, breakfast in best location!",Spain,50,10
Cozy Room near the Beach and 10 min away city cent,Spain,50,9
Excellent room for 2 in Barcelona,Spain,50,9
"GRACIA SUITE, cozy 1 bedroom apt, great location",Spain,49,8
Habitación indiv con cama extra,Spain,49,10
Cozy double room in a sunny flat,Spain,49,10
Big comfortable room in BCN city center,Spain,49,9
la sagrada familia Terrace,Spain,49,9
Sunny and charming centric flat!!,Spain,48,9
Habitación doble en el centro de la ciudad,Spain,47,9
Fiona,Spain,47,9
2-bedroom apartment in the Old Town,Spain,46,9
Apartment Salva - 3 bedroom in Poble Sec,Spain,46,10
Bright & Charming loft in the Gothic Quarter,Spain,46,9
Perfectly located 2-bedroom place near Ramblas,Spain,46,9
Comfortable Apartment Sant Antoni area for months,Spain,45,10
Quiet Private Room in Barcelona Gothic Quarter,Spain,45,9
Cheap Small Economic Room Shared Barthroom Center,Spain,45,9
"Piso en el centro,  habitación individual,",Spain,45,10
Big sunny room! Perfect location!,Spain,45,8
Lovely room in Born,Spain,45,10
Beste Lage im Herzen Barcelonas Playa Espanya*****,Spain,45,9
Double room for women in Gothic,Spain,45,8
Habitacion al lado de Sagrada Familia,Spain,45,9
Bright Atico in Born with the perfect roof terrace,Spain,45,7
2 Habitaciones cómodas,Spain,45,10
DOUBLE ROOM attached to the CATALUÑA Square,Spain,45,9
Quite flat in the heart of Gràcia,Spain,45,8
Ático Del Guinardo,Spain,45,8
Cozy Apartment Las Ramblas,Spain,45,10
Nice apartment near Camp Nou - A/C and Wifi,Spain,45,9
Comfortable room in a house in the heart of Gràcia,Spain,45,9
Room with a double bed close to Arc de Triomf,Spain,45,10
Charming stylish loft  - Sagrada familia,Spain,45,9
LITERA 2 PERSONAS,Spain,45,8
